województwo;powiat;gmina;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;język polski liczba zdających;język polski wynik średni (%);język polski odchylenie standardowe (%);język polski mediana (%);język polski modalna (%);matematyka liczba zdających;matematyka wynik średni (%);matematyka odchylenie standardowe (%);matematyka mediana (%);matematyka modalna (%);język angielski liczba zdających;język angielski wynik średni (%);język angielski odchylenie standardowe (%);język angielski mediana (%);język angielski modalna (%);język francuski liczba zdających;język francuski wynik średni (%);język francuski odchylenie standardowe (%);język francuski mediana (%);język francuski modalna (%);język hiszpański liczba zdających;język hiszpański wynik średni (%);język hiszpański odchylenie standardowe (%);język hiszpański mediana (%);język hiszpański modalna (%);język niemiecki liczba zdających;język niemiecki wynik średni (%);język niemiecki odchylenie standardowe (%);język niemiecki mediana (%);język niemiecki modalna (%);język rosyjski liczba zdających;język rosyjski wynik średni (%);język rosyjski odchylenie standardowe (%);język rosyjski mediana (%);język rosyjski modalna (%);język włoski liczba zdających;język włoski wynik średni (%);język włoski odchylenie standardowe (%);język włoski mediana (%);język włoski modalna (%)
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;23072;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 12 IM. MARIANA BATKI;Łódź;ul. Juliusza Jurczyńskiego 1/3;69;65;17;64;76;69;65;26;72;92;70;78;26;90;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26693;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 204 IM. STEFANA KARDYNAŁA WYSZYŃSKIEGO;Łódź;ul. Tadeusza Gajcego 7/11;50;62;19;62;58;50;63;28;64;92;50;74;28;88;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;119364;dla młodzieży;Tak;"PUBLICZNA SZKOŁA PODSTAWOWA ""MILESZKI"" W ŁODZI";Łódź;ul. Pomorska 437;16;52;13;51;33;16;47;31;38;24;17;60;32;62;11;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26689;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 199 IM. JULIANA TUWIMA;Łódź;ul. Józefa Elsnera 8;99;62;17;64;60;99;68;27;72;100;103;78;26;91;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26037;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 139 IM. WOJSKA POLSKIEGO;Łódź;ul. Giewont 28;54;63;17;67;67;54;67;31;84;96;54;75;28;89;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26038;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 141 IM. MARIUSZA ZARUSKIEGO;Łódź;ul. Zakładowa 35;62;61;16;61;60;61;63;26;64;64;62;78;24;87;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26690;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 202 IM. JANA PAWŁA II;Łódź;ul. Jugosłowiańska 2;121;64;16;67;56;121;66;27;68;96;121;78;25;89;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;26093;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 149 IM. OBROŃCÓW WESTERPLATTE;Łódź;ul. Tatrzańska 69a;89;65;14;64;58;89;65;25;72;96;91;84;19;91;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;263046;dla młodzieży;Nie;SZKOŁA MISTRZOSTWA SPORTOWEGO IM. KAZIMIERZA GÓRSKIEGO W ŁODZI - SZKOŁA PODSTAWOWA;Łódź;ul. Milionowa 12;87;49;14;49;47;87;51;24;48;36;88;56;27;56;65;;;;;;;;;;;4;;;;;;;;;;;;;;
Łódzkie;Łódź;Łódź;Gmina miejska;1061011;132593;dla młodzieży;Tak;SALEZJAŃSKA SZKOŁA PODSTAWOWA IM. KSIĘDZA BOSKO;Łódź;ul. Wodna 34;57;73;12;76;82;57;88;12;92;96;56;91;14;96;98;;;;;;1;;;;;;;;;;;;;;;;;;;
