Kategoria uczniów,Uczniowie,Waga,Uczniowie przelicz.,Kwota razem w zł,Kategoria uczniów (cleared),Kategoria uczniów (shortcut)
75. P56 - Dzieci 6-letnie wieś/miasto do 5 tys. m.,"0,00","0,15","0,00","0,00",P56 - Dzieci 6-letnie wieś/miasto do 5 tys. m.,P56
76. P57 - Dzieci w przedszkolach w podm. lecz.,"0,00","3,04","0,00","0,00",P57 - Dzieci w przedszkolach w podm. lecz.,P57
77. P58 - Wych. w internatach i bursach,"0,00","1,50","0,00","0,00",P58 - Wych. w internatach i bursach,P58
78. P59 - Wych. niepełnospr. w intern. szk. spec.,"0,00","0,50","0,00","0,00",P59 - Wych. niepełnospr. w intern. szk. spec.,P59
79. P60 - Wych. w internatach szkół artystycznych,"0,00","3,64","0,00","0,00",P60 - Wych. w internatach szkół artystycznych,P60
80. P61 - Wych. w domach wczasów dziecięcych,"0,00","6,30","0,00","0,00",P61 - Wych. w domach wczasów dziecięcych,P61
81. P62 - Wych. SOSW/MOS opieka całkowita,"0,00","6,50","0,00","0,00",P62 - Wych. SOSW/MOS opieka całkowita,P62
82. P63 - Wych. SOW opieka całkowita,"0,00","7,80","0,00","0,00",P63 - Wych. SOW opieka całkowita,P63
83. P64 - Wych. MOW niedoprowadzeni,"0,00","5,00","0,00","0,00",P64 - Wych. MOW niedoprowadzeni,P64
84. P65 - Wych. MOW,"0,00","10,00","0,00","0,00",P65 - Wych. MOW,P65
85. P66 - Wych. MOS,"0,00","1,50","0,00","0,00",P66 - Wych. MOS,P66
"86. P67 - Wych. ORW i przedszkoli-autyzm,niep.sprzężona","52,00","9,50","490,71","2 984 161,92","P67 - Wych. ORW i przedszkoli-autyzm,niep.sprzężona",P67
87. P68 - Schroniska młodzieżowe (m-ca * m-ce),"0,00","0,02","0,00","0,00",P68 - Schroniska młodzieżowe (m-ca * m-ce),P68
88. P69 - Dzieci - wczesne wspomaganie,"29,00","0,84","24,20","147 154,22",P69 - Dzieci - wczesne wspomaganie,P69
89. P70 - Dzieci 6-letnie w naucz. dom. i poza placówką,"0,00","0,25","0,00","0,00",P70 - Dzieci 6-letnie w naucz. dom. i poza placówką,P70
90. P71 - Dzieci niepełnosprawne w przedszkolach - gr. 2,"3,00","2,90","8,64","52 555,08",P71 - Dzieci niepełnosprawne w przedszkolach - gr. 2,P71
91. P72 - Dzieci niepełnosprawne w przedszkolach - gr. 3,"3,00","3,60","10,73","65 240,79",P72 - Dzieci niepełnosprawne w przedszkolach - gr. 3,P72
92. P73 - Stażyści,"7,00","0,21","1,46","8 880,00",P73 - Stażyści,P73
93. P74 - Zadania pozaszkolne gminne,"3 211,08","0,00","3,19","19 397,53",P74 - Zadania pozaszkolne gminne,P74
94. P75 - Zadania pozaszkolne powiatowe,"0,00","0,03","0,00","0,00",P75 - Zadania pozaszkolne powiatowe,P75
95. P76 - Zadania pozaszkolne wojewódzkie,"0,00","0,01","0,00","0,00",P76 - Zadania pozaszkolne wojewódzkie,P76
