ZO,Nazwa,WK,GK,Paragraf,PT,NZ,Regon,Typ,GT,NP,P4,PL,Grupa,NO,WW,Dzial,DW,Rozdzial,PK,NA,ZA
1143.72,Szkoła Podstawowa Nr 9,10,01,430,0,,001070630,JB,1,,0,6000.00,1100,,2527.79,926,,92601,02,,3671.51
1143.72,Szkoła Podstawowa Nr 9,10,01,444,0,,001070630,JB,1,,0,8315.00,1100,,8314.85,926,,92601,02,,8314.85
1143.72,Szkoła Podstawowa Nr 9,10,01,471,0,,001070630,JB,1,,0,1000.00,1400,,8314.85,926,,92601,02,,8314.85
,Szkoła Podstawowa Nr 2,10,01,302,0,,368245067,JB,1,,0,11900.00,1300,,10847.83,801,,80101,02,,10847.83
,Szkoła Podstawowa Nr 2,10,01,401,0,,368245067,JB,1,,0,639800.00,1400,,621507.31,801,,80101,02,,621507.31
51911.90,Szkoła Podstawowa Nr 2,10,01,404,0,,368245067,JB,1,,0,47078.00,1400,,47077.32,801,,80101,02,,47077.32
32914.63,Szkoła Podstawowa Nr 2,10,01,411,0,,368245067,JB,1,,0,454283.00,1400,,438156.60,801,,80101,02,,438156.60
3131.59,Szkoła Podstawowa Nr 2,10,01,412,0,,368245067,JB,1,,0,54763.00,1400,,48029.25,801,,80101,02,,48029.25
3131.59,Szkoła Podstawowa Nr 2,10,01,417,0,,368245067,JB,1,,0,5200.00,1400,,48029.25,801,,80101,02,,48029.25
3131.59,Szkoła Podstawowa Nr 2,10,01,421,0,,368245067,JB,1,,0,106010.00,1100,,74213.99,801,,80101,02,,74213.99
3131.59,Szkoła Podstawowa Nr 2,10,01,424,0,,368245067,JB,1,,0,9150.00,1100,,9146.94,801,,80101,02,,9146.94
3131.59,Szkoła Podstawowa Nr 2,10,01,426,0,,368245067,JB,1,,0,241000.00,1100,,228010.58,801,,80101,02,,228010.58
3131.59,Szkoła Podstawowa Nr 2,10,01,427,0,,368245067,JB,1,,0,15600.00,1100,,14753.73,801,,80101,02,,14753.73
3131.59,Szkoła Podstawowa Nr 2,10,01,428,0,,368245067,JB,1,,0,5000.00,1100,,4260.00,801,,80101,02,,4260.00
3131.59,Szkoła Podstawowa Nr 2,10,01,430,0,,368245067,JB,1,,0,73237.00,1100,,71021.49,801,,80101,02,,71021.49
3131.59,Szkoła Podstawowa Nr 2,10,01,436,0,,368245067,JB,1,,0,6800.00,1100,,5262.43,801,,80101,02,,5262.43
3131.59,Szkoła Podstawowa Nr 2,10,01,441,0,,368245067,JB,1,,0,1160.00,1100,,82.60,801,,80101,02,,82.60
3131.59,Szkoła Podstawowa Nr 2,10,01,444,0,,368245067,JB,1,,0,178629.00,1100,,172137.97,801,,80101,02,,172137.97
3131.59,Szkoła Podstawowa Nr 2,10,01,448,0,,368245067,JB,1,,0,316.00,1100,,172137.97,801,,80101,02,,172137.97
3131.59,Szkoła Podstawowa Nr 2,10,01,453,0,,368245067,JB,1,,0,500.00,1100,,172137.97,801,,80101,02,,172137.97
3131.59,Szkoła Podstawowa Nr 2,10,01,470,0,,368245067,JB,1,,0,3187.00,1100,,1105.00,801,,80101,02,,1105.00
241.77,Szkoła Podstawowa Nr 2,10,01,471,0,,368245067,JB,1,,0,3000.00,1400,,2520.57,801,,80101,02,,2520.57
241.77,Szkoła Podstawowa Nr 2,10,01,479,0,,368245067,JB,1,,0,1827606.00,1400,,1742196.34,801,,80101,02,,1742196.34
140570.84,Szkoła Podstawowa Nr 2,10,01,480,0,,368245067,JB,1,,0,130391.00,1400,,130390.69,801,,80101,02,,130390.69
140570.84,Szkoła Podstawowa Nr 2,10,01,606,0,,368245067,JB,1,,0,80100.00,1600,,80100.00,801,,80101,02,,80100.00
1636.45,Szkoła Podstawowa Nr 2,10,01,411,0,,368245067,JB,1,,0,27500.00,1400,,24216.40,801,,80107,02,,24216.40
234.46,Szkoła Podstawowa Nr 2,10,01,412,0,,368245067,JB,1,,0,3500.00,1400,,3102.90,801,,80107,02,,3102.90
234.46,Szkoła Podstawowa Nr 2,10,01,444,0,,368245067,JB,1,,0,6700.00,1100,,6699.46,801,,80107,02,,6699.46
234.46,Szkoła Podstawowa Nr 2,10,01,471,0,,368245067,JB,1,,0,1000.00,1400,,32.85,801,,80107,02,,32.85
234.46,Szkoła Podstawowa Nr 2,10,01,479,0,,368245067,JB,1,,0,123500.00,1400,,113868.44,801,,80107,02,,113868.44
9569.93,Szkoła Podstawowa Nr 2,10,01,480,0,,368245067,JB,1,,0,10333.00,1400,,10332.13,801,,80107,02,,10332.13
9569.93,Szkoła Podstawowa Nr 2,10,01,430,0,,368245067,JB,1,,0,4269.00,1100,,1200.00,801,,80146,02,,1200.00
9569.93,Szkoła Podstawowa Nr 2,10,01,470,0,,368245067,JB,1,,0,7116.00,1100,,7025.20,801,,80146,02,,7025.20
9569.93,Szkoła Podstawowa Nr 2,10,01,302,0,,368245067,JB,1,,0,1900.00,1300,,1714.65,801,,80148,02,,1714.65
9569.93,Szkoła Podstawowa Nr 2,10,01,401,0,,368245067,JB,1,,0,209900.00,1400,,202602.29,801,,80148,02,,202602.29
15249.84,Szkoła Podstawowa Nr 2,10,01,404,0,,368245067,JB,1,,0,14450.00,1400,,14449.55,801,,80148,02,,14449.55
2607.74,Szkoła Podstawowa Nr 2,10,01,411,0,,368245067,JB,1,,0,40700.00,1400,,37585.56,801,,80148,02,,37585.56
284.82,Szkoła Podstawowa Nr 2,10,01,412,0,,368245067,JB,1,,0,6300.00,1400,,4073.29,801,,80148,02,,4073.29
284.82,Szkoła Podstawowa Nr 2,10,01,421,0,,368245067,JB,1,,0,72181.00,1100,,72180.15,801,,80148,02,,72180.15
284.82,Szkoła Podstawowa Nr 2,10,01,422,0,,368245067,JB,1,,0,225000.00,1100,,181849.82,801,,80148,02,,181849.82
284.82,Szkoła Podstawowa Nr 2,10,01,430,0,,368245067,JB,1,,0,14400.00,1100,,14400.00,801,,80148,02,,14400.00
284.82,Szkoła Podstawowa Nr 2,10,01,444,0,,368245067,JB,1,,0,9147.00,1100,,9146.33,801,,80148,02,,9146.33
284.82,Szkoła Podstawowa Nr 2,10,01,471,0,,368245067,JB,1,,0,1000.00,1400,,9146.33,801,,80148,02,,9146.33
1556.99,Szkoła Podstawowa Nr 2,10,01,411,0,,368245067,JB,1,,0,22000.00,1400,,21545.90,801,,80150,02,,21545.90
190.22,Szkoła Podstawowa Nr 2,10,01,412,0,,368245067,JB,1,,0,3000.00,1400,,2807.15,801,,80150,02,,2807.15
190.22,Szkoła Podstawowa Nr 2,10,01,444,0,,368245067,JB,1,,0,8040.00,1100,,8039.35,801,,80150,02,,8039.35
190.22,Szkoła Podstawowa Nr 2,10,01,471,0,,368245067,JB,1,,0,1000.00,1400,,8039.35,801,,80150,02,,8039.35
190.22,Szkoła Podstawowa Nr 2,10,01,479,0,,368245067,JB,1,,0,124515.00,1400,,121353.59,801,,80150,02,,121353.59
9105.16,Szkoła Podstawowa Nr 2,10,01,480,0,,368245067,JB,1,,0,2720.00,1400,,2707.26,801,,80150,02,,2707.26
9105.16,Szkoła Podstawowa Nr 2,10,01,424,0,,368245067,JB,1,,0,28614.96,1100,,28614.96,801,,80153,02,,28614.96
